County;ISO;Capital
Alba;AB;Alba Iulia
Arad;AR;Arad
Arge?;AG;Pite?ti
Bac?u;BC;Bac?u
Bihor;BH;Oradea
Bistri?a-N?s?ud;BN;Bistri?a
Boto?ani;BT;Boto?ani
Br?ila;BR;Br?ila
Bra?ov;BV;Bra?ov
Bucharest;B;Bucharest
Buz?u;BZ;Buz?u
C?l?ra?i;CL;C?l?ra?i
Cara?-Severin;CS;Re?i?a
Cluj;CJ;Cluj-Napoca
Constan?a;CT;Constan?a
Covasna;CV;Sfântu Gheorghe
Dâmbovi?a;DB;Târgovi?te
Dolj;DJ;Craiova
Gala?i;GL;Gala?i
Giurgiu;GR;Giurgiu
Gorj;GJ;Târgu Jiu
Harghita;HR;Miercurea-Ciuc
Hunedoara;HD;Deva
Ialomi?a;IL;Slobozia
Ia?i;IS;Ia?i
Ilfov;IF;Bucharest
Maramure?;MM;Baia Mare
Mehedin?i;MH;Drobeta-Turnu Severin
Mure?;MS;Târgu Mure?
Neam?;NT;Piatra-Neam?
Olt;OT;Slatina
Prahova;PH;Ploie?ti
S?laj;SJ;Zal?u
Satu Mare;SM;Satu Mare
Sibiu;SB;Sibiu
Suceava;SV;Suceava
Teleorman;TR;Alexandria
Timi?;TM;Timi?oara
Tulcea;TL;Tulcea
Vâlcea;VL;Râmnicu Vâlcea
Vaslui;VS;Vaslui
Vrancea;VN;Foc?ani
